Start_date,Mass_BC_PSAP_STP,Mass_ammonium_STP,Mass_chloride_STP,Mass_nitrate_STP,Mass_organics_STP,Mass_sulfate_STP,soma_Qc,diam_geom_medio,conc D<50,conc D>100,area,vol,Scattering_Eff
2017-01-03 15:00:00,0.013280212483399736,0.13841152801728412,0.0024974727953856217,0.24235396721571426,0.38635507720362333,0.21712156349725475,0.0,68.85020491864624,0.3783995434222025,0.37925754905703535,49.32291450087154,1.804501150359792,2.5827040098313216
2017-01-03 16:00:00,0.013217501538002649,0.1075296881117056,0.003560709159038795,0.2127104267258254,0.41691989336514984,0.24608042355660784,0.0,60.1489873475055,0.4717326226499581,0.3247800088592367,56.184537649863415,2.0628551324693074,2.8578885553960593
2017-01-03 17:00:00,0.013083838900665154,0.16848183612309042,0.00042029091440684156,0.18743147430743368,0.435531028433594,0.19505153132080985,0.0,55.13353148977592,0.5422147933109899,0.2917389667610458,57.515800496537665,2.024107779167891,2.7465097580586213
2017-01-03 18:00:00,0.015956959706959706,0.11050824175824175,0.0014423076923076922,0.20148809523809522,0.4350503663003663,0.2355311355311355,0.0,49.703442062945854,0.6160915461711055,0.23254871331718135,58.12324142957735,1.9777256116819892,3.1799450549450547
2017-01-03 19:00:00,0.01617088314336021,0.10571309424520434,0.0026874247057733294,0.18508479288295804,0.4520897043832824,0.23827726809378186,0.0,45.43240456966833,0.6652787718022186,0.18534897436170575,54.90284026618064,1.8283357395131246,3.1739412473357427
2017-01-03 20:00:00,0.01635003948162943,0.1227181940638209,0.001556040689302801,0.16651957824329974,0.4751730224348553,0.21768312508709187,0.0,41.24063783195136,0.6839057010087285,0.1639221477553209,51.10181316552223,1.66235502191582,2.791583445585025
2017-01-03 21:00:00,0.019107622392067754,0.13798801900433796,0.005370791158851477,0.17106486263168766,0.4246539971080356,0.24184052881636026,0.0,39.634998486073826,0.6825899241819818,0.1644756899041135,51.126938855308076,1.6622730266952204,3.0262342491220826
2017-01-03 22:00:00,0.018952496954933003,0.12107186358099876,-0.002119366626065773,0.1940803897685749,0.4645554202192448,0.20345919610231425,0.0,47.02855008538792,0.5665828635819823,0.2179817562264954,53.26859556466711,1.7314075651808685,2.850182704019488
2017-01-03 23:00:00,0.019549933352499937,0.04678393141841562,-0.001777266668409085,0.07454065497503987,0.761924675256789,0.09897807166566477,0.0,51.77106159244382,0.5063416107526425,0.2360428020541653,52.90357776096679,1.7230257204069215,2.982148924492303
2017-01-04 00:00:00,0.017960843890127663,0.14652912205042756,0.004680110754453456,0.21535860429786086,0.39589816471049466,0.219597657494303,0.0,48.5678610006941,0.5376727341450214,0.21346391655328667,52.229115459113906,1.7075933699051438,2.844821249173017
2017-01-04 01:00:00,0.018636945002740726,0.13293832058677663,-0.0006264519328652345,0.25102450993187336,0.36041867870846495,0.2375557933752708,0.0,40.180440131824355,0.6203696740533944,0.17604691963438834,52.060419836883675,1.7308667015073476,3.414163034115528
2017-01-04 02:00:00,0.01536395126893984,0.2103588849353159,0.0015316822584065793,0.26055093432617765,0.30866932158258126,0.20352522562857886,0.0,43.45661141085886,0.5892788536583076,0.1815003119665622,47.60803018990318,1.5750842866391845,3.105780333199802
2017-01-04 03:00:00,0.0186018601860186,0.16555655565556554,0.00744074407440744,0.26066606660666064,0.34107410741074107,0.20666066606660663,0.0,34.01675379199482,0.7123402007033581,0.12416077873340868,42.671744486743854,1.329244086408801,3.561356135613561
2017-01-04 04:00:00,0.018219037871033777,0.09433640395769363,0.0046400545888775156,0.2684408051859434,0.43346980552712383,0.18089389286932786,0.0,33.61007483045703,0.7350094069636897,0.11356642910248949,38.90669516198846,1.1549283794209386,3.227567383145684
2017-01-04 05:00:00,0.019933847850055125,0.13309812568908488,0.00017640573318632855,0.34659316427783904,0.2990959206174201,0.20114663726571114,1.0,31.878752558767815,0.7345448086584894,0.11404154973965167,34.48016340249121,1.0012577144293056,3.2502756339581036
2017-01-04 06:00:00,0.016996137241536015,0.1900931606453079,0.005771415587366507,0.3164735287434674,0.3640536241763236,0.10661213360599864,1.0,27.0997254392066,0.8153679901102608,0.07750914821642384,31.148297162144253,0.8347953628007647,2.6448534423994547
2017-01-04 07:00:00,0.01755428324511181,0.2046019228691801,-0.0022685535270606026,0.35303013935400235,0.24657016311980126,0.1805120449389651,0.0,31.92596142952874,0.7420975227546613,0.1094555155088396,26.156391277124662,0.7156350382844517,3.0571459436102413
2017-01-04 08:00:00,0.012811942959001782,0.1330770944741533,0.007241532976827094,0.2776849376114082,0.34308155080213903,0.22615864527629237,1.0,32.012617779297216,0.7240898122607881,0.12169591767101537,21.195828620971668,0.5942598224464147,2.757352941176471
2017-01-04 09:00:00,0.014040561622464899,0.1647310336857919,0.0027156641821228407,0.3370890391171203,0.30409660830877683,0.17732709308372335,1.0,29.552206284712653,0.7575912798567143,0.10499908512933337,20.533925038918998,0.5754127638807204,2.8138903333911136
2017-01-04 10:00:00,0.01751393153644945,0.19981803707494597,-0.007164790174002047,0.3087114750369613,0.3607983623336745,0.12032298419197089,0.0,28.73724725753327,0.7848214941745649,0.08910412836239903,22.06424479610066,0.5962441935116171,2.8488570453770046
2017-01-04 11:00:00,0.0209197582078938,0.19432262652601637,0.011793291454308404,0.3448500651890482,0.15378689107502666,0.2743866303188337,0.0,31.130398963710235,0.7620123051251786,0.10126644196840327,25.188094871952323,0.6723472070325462,3.1587057010785826
