Start_date,Mass_organics_STP,Mass_sulfate_STP,Mass_ammonium_STP,Mass_nitrate_STP,Mass_chloride_STP,Mass_ACSM_STP,Mass_SMPS_STP,Mass_BC_PSAP_STP,Mass_ACSM_PSAP_STP,Qc_ACSM_SMPS,P_SMPS,T_SMPS,RH_SMPS
2017-01-01 00:00:00,  0.9792,  0.1152,  0.1763,  0.0812, -0.0019,  1.3500,  0.5927,     NaN,  1.3500,   0, 959.00, 22.27, 10.47
2017-01-01 01:00:00,  0.6306,  0.2089,  0.1991,  0.0872,  0.0050,  1.1308,  0.6172,     NaN,  1.1308,   1, 959.00, 22.45, 10.38
2017-01-01 02:00:00,  0.5220,  0.2641,  0.1951,  0.0848,  0.0069,  1.0729,  0.7254,     NaN,  1.0729,   1, 959.00, 22.37, 10.35
2017-01-01 03:00:00,  0.4009,  0.0872,  0.1751,  0.1898, -0.0098,  0.8432,  0.9846,     NaN,  0.8432,   1, 959.58, 22.49, 10.37
2017-01-01 04:00:00,  0.8554,  0.1710,  0.1735,  0.2553, -0.0039,  1.4513,  1.0277,     NaN,  1.4513,   1, 960.25, 22.32, 10.39
2017-01-01 05:00:00,  1.2045,  0.1890, -0.0038,  0.2694,  0.0065,  1.6655,  1.1527,     NaN,  1.6655,   0, 960.50, 22.52, 10.33
2017-01-01 06:00:00,  1.2376,  0.2134,  0.0452,  0.3612, -0.0077,  1.8498,  1.3024,     NaN,  1.8498,   0, 960.33, 22.48, 10.30
2017-01-01 07:00:00,  1.4349,  0.2322,  0.0577,  0.5135,  0.0017,  2.2401,  1.7392,     NaN,  2.2401,   0, 959.83, 22.30, 10.30
2017-01-01 08:00:00,  1.3346,  0.3995,  0.3681,  0.6706,  0.0127,  2.7854,  1.9850,     NaN,  2.7854,   0, 959.67, 22.20, 10.47
2017-01-01 09:00:00,  1.4753,  0.7139,  0.4852,  1.0149,  0.0151,  3.7045,  2.4537,     NaN,  3.7045,   0, 960.00, 22.32, 10.82
2017-01-01 10:00:00,  1.7551,  0.8229,  0.6244,  1.3790,  0.0111,  4.5924,  2.8058,     NaN,  4.5924,   0, 959.58, 22.56, 11.06
2017-01-01 11:00:00,  1.7888,  1.0699,  0.8340,  1.8074,  0.0159,  5.5161,  3.3954,     NaN,  5.5161,   0, 959.00, 22.75, 11.20
2017-01-01 12:00:00,  2.1950,  1.3297,  1.0956,  2.0863,  0.0101,  6.7166,  3.7336,     NaN,  6.7166,   0, 959.00, 22.18, 11.33
2017-01-01 13:00:00,  2.3583,  1.2693,  1.0316,  2.1872,  0.0255,  6.8719,  3.7226,     NaN,  6.8719,   0, 959.08, 22.31, 11.56
2017-01-01 14:00:00,  2.3511,  1.0715,  1.0470,  2.4330,  0.0390,  6.9416,  3.9778,     NaN,  6.9416,   0, 959.25, 22.55, 11.60
2017-01-01 15:00:00,  2.8125,  1.1557,  1.0610,  2.3683,  0.0070,  7.4045,  4.0340,     NaN,  7.4045,   0, 959.00, 22.31, 11.66
2017-01-01 16:00:00,  3.5334,  1.0594,  1.1728,  2.3938,  0.0733,  8.2328,  5.1333,     NaN,  8.2328,   0, 959.00, 22.08, 12.02
2017-01-01 17:00:00,  5.5364,  1.1646,  1.3371,  2.5043,  0.0808, 10.6232,  6.0452,     NaN, 10.6232,   1, 958.42, 22.13, 12.88
2017-01-01 18:00:00,  5.6807,  1.5285,  1.0887,  1.8840,  0.1029, 10.2848,  5.9807,     NaN, 10.2848,   1, 957.00, 22.25, 13.88
2017-01-01 19:00:00,  4.8904,  1.3882,  0.8638,  1.0935,  0.0692,  8.3050,  4.6170,     NaN,  8.3050,   1, 955.75, 22.43, 15.06
2017-01-01 20:00:00,  4.8724,  1.5694,  0.9744,  1.1360,  0.0303,  8.5826,  5.1213,     NaN,  8.5826,   0, 954.92, 22.27, 15.75
2017-01-01 21:00:00,  5.0370,  1.4761,  0.6293,  1.0357, -0.0176,  8.1606,  4.9896,     NaN,  8.1606,   0, 954.83, 22.24, 15.97
2017-01-01 22:00:00,  4.8818,  1.4394,  0.8184,  0.8923, -0.0106,  8.0214,  5.0032,     NaN,  8.0214,   0, 954.92, 22.29, 16.19
2017-01-01 23:00:00,  0.5178,  0.0743,  0.1160,  0.0462,  0.0076,  0.7619,  4.9372,     NaN,  0.7619,   1, 954.67, 22.42, 16.17
2017-01-02 00:00:00,  5.1035,  1.6718,  0.8118,  0.9805,  0.0221,  8.5896,  5.3972,     NaN,  8.5896,   0, 954.00, 22.48, 15.70
2017-01-02 01:00:00,  5.5454,  1.9485,  1.1597,  1.1398,  0.0816,  9.8749,  6.5852,     NaN,  9.8749,   0, 954.08, 22.52, 15.79
2017-01-02 02:00:00,  6.5159,  2.1012,  1.2244,  1.4306,  0.0546, 11.3267,  6.6770,     NaN, 11.3267,   1, 954.08, 22.57, 16.25
2017-01-02 03:00:00,  6.1502,  2.6859,  1.6088,  1.8181,  0.0744, 12.3374,  6.2907,     NaN, 12.3374,   1, 954.08, 22.75, 16.83
2017-01-02 04:00:00,  5.7835,  2.8953,  1.5035,  2.1172,  0.0640, 12.3636,  6.2931,     NaN, 12.3636,   1, 954.17, 22.58, 17.28
2017-01-02 05:00:00,  5.8276,  2.6248,  1.3455,  2.0324,  0.0592, 11.8895,  6.3158,     NaN, 11.8895,   1, 955.00, 22.54, 17.63
2017-01-02 06:00:00,  5.5537,  2.4860,  1.1940,  1.7908,  0.0377, 11.0621,  5.5955,     NaN, 11.0621,   1, 954.17, 22.47, 17.74
2017-01-02 07:00:00,  4.0311,  2.1182,  1.1495,  1.3607,  0.0424,  8.7019,  4.8731,     NaN,  8.7019,   1, 954.00, 22.51, 17.86
2017-01-02 08:00:00,  3.6792,  2.3494,  1.1336,  1.5961,  0.0412,  8.7995,  4.9763,     NaN,  8.7995,   1, 954.00, 22.51, 18.03
2017-01-02 09:00:00,  3.3326,  2.8681,  1.4413,  1.9168,  0.0322,  9.5909,  4.3268,     NaN,  9.5909,   1, 954.17, 22.42, 18.18
2017-01-02 10:00:00,  2.9714,  1.8631,  0.8996,  1.1949,  0.0254,  6.9544,  3.3158,     NaN,  6.9544,   1, 953.50, 22.57, 18.50
2017-01-02 11:00:00,  2.2915,  1.5481,  0.8653,  0.9187,  0.0478,  5.6713,  3.2966,     NaN,  5.6713,   0, 952.33, 22.52, 18.59
2017-01-02 12:00:00,  3.2860,  2.0679,  0.9878,  1.2383,  0.0044,  7.5843,  3.7552,     NaN,  7.5843,   1, 953.25, 22.61, 18.71
