Start_date,Mass_organics_STP,Mass_sulfate_STP,Mass_ammonium_STP,Mass_nitrate_STP,Mass_chloride_STP,Mass_ACSM_STP,Mass_SMPS_STP,Mass_BC_PSAP_STP,Mass_ACSM_PSAP_STP,Qc_ACSM_SMPS,P_SMPS,T_SMPS,RH_SMPS
2020-01-01 00:00:00,  0.5762,  0.0259,  0.1337,  0.1021, -0.0060,  0.8319,  0.6636,     NaN,  0.8319,   1, 956.00, 23.18, 14.72
2020-01-01 01:00:00,  0.6943,  0.0663,  0.1730,  0.2216,  0.0013,  1.1564,  0.9759,     NaN,  1.1564,   1, 956.00, 23.34, 15.13
2020-01-01 02:00:00,  0.8270,  0.0394,  0.1869,  0.3852,  0.0111,  1.4496,  1.0374,     NaN,  1.4496,   1, 955.42, 23.39, 15.20
2020-01-01 03:00:00,  0.7454,  0.1194,  0.0222,  0.4250, -0.0005,  1.3116,  1.0758,     NaN,  1.3116,   1, 955.42, 23.37, 15.28
2020-01-01 04:00:00,  1.0883,  0.0486,  0.2368,  0.5422,  0.0063,  1.9223,  1.2167,     NaN,  1.9223,   0, 955.00, 23.35, 15.40
2020-01-01 05:00:00,  1.1251,  0.1377,  0.2130,  0.5988, -0.0054,  2.0692,  1.3375,     NaN,  2.0692,   0, 954.83, 23.39, 15.45
2020-01-01 06:00:00,  1.1427,  0.1034,  0.1818,  0.6659,  0.0080,  2.1017,  1.4655,     NaN,  2.1017,   0, 953.92, 23.42, 15.59
2020-01-01 07:00:00,  1.0564,  0.0982,  0.2648,  0.5224,  0.0017,  1.9436,  1.5581,     NaN,  1.9436,   0, 953.00, 23.40, 15.53
2020-01-01 08:00:00,  1.1980,  0.1111,  0.2586,  0.6976, -0.0021,  2.2633,  1.6297,     NaN,  2.2633,   0, 952.33, 23.38, 15.37
2020-01-01 09:00:00,  1.3301,  0.0919,  0.1810,  0.6323,  0.0169,  2.2522,  1.5689,     NaN,  2.2522,   0, 951.42, 23.34, 15.37
2020-01-01 10:00:00,  1.2339,  0.0838,  0.2775,  0.6149,  0.0069,  2.2170,  1.5113,     NaN,  2.2170,   0, 950.50, 23.38, 15.40
2020-01-01 11:00:00,  1.2555,  0.0761,  0.2721,  0.6752, -0.0047,  2.2742,  1.7022,     NaN,  2.2742,   0, 949.42, 23.35, 15.31
2020-01-01 12:00:00,  1.3995,  0.0888,  0.3284,  0.6236, -0.0044,  2.4358,  1.7629,     NaN,  2.4358,   0, 949.08, 23.29, 15.34
2020-01-01 13:00:00,  1.5557,  0.2122,  0.2863,  0.6932,  0.0147,  2.7622,  1.8373,     NaN,  2.7622,   0, 948.58, 23.42, 15.46
2020-01-01 14:00:00,  1.5799,  0.1134, -0.0065,  0.5554,  0.0043,  2.2465,  1.6671,     NaN,  2.2465,   0, 947.58, 23.28, 15.42
2020-01-01 15:00:00,  1.5435,  0.1943,  0.3013,  0.4259, -0.0045,  2.4606,  1.8787,     NaN,  2.4606,   0, 946.83, 22.77, 16.09
2020-01-01 16:00:00,  1.7658,  0.2358,  0.3398,  0.4241, -0.0005,  2.7650,  1.8945,     NaN,  2.7650,   0, 945.83, 22.69, 17.47
2020-01-01 17:00:00,  1.9321,  0.3039,  0.1577,  0.3183,  0.0007,  2.7128,  1.7643,     NaN,  2.7128,   0, 944.42, 22.95, 18.82
2020-01-01 18:00:00,  1.6757,  0.3023,  0.2907,  0.2805,  0.0255,  2.5747,  1.8614,     NaN,  2.5747,   0, 943.33, 23.00, 19.36
2020-01-01 19:00:00,  1.8103,  0.4082,  0.2176,  0.2930,  0.0118,  2.7409,  1.8840,     NaN,  2.7409,   0, 941.58, 23.02, 19.42
2020-01-01 20:00:00,  1.8551,  0.3005,  0.2216,  0.2400, -0.0049,  2.6123,  1.8699,     NaN,  2.6123,   0, 941.00, 22.99, 19.68
2020-01-01 21:00:00,  1.6307,  0.4180,  0.2938,  0.2036,  0.0092,  2.5553,  1.7684,     NaN,  2.5553,   0, 939.00, 23.04, 18.78
2020-01-01 22:00:00,  1.5364,  0.3218,  0.1349,  0.1716,  0.0112,  2.1759,  1.6054,     NaN,  2.1759,   0, 939.08, 22.95, 18.53
2020-01-01 23:00:00,  1.3602,  0.1789,  0.1989,  0.1780, -0.0085,  1.9075,  1.6261,     NaN,  1.9075,   0, 940.58, 23.06, 18.89
2020-01-02 00:00:00,  1.6668,  0.2319,  0.0640,  0.1931, -0.0079,  2.1479,  1.5991,     NaN,  2.1479,   0, 941.00, 23.22, 19.09
2020-01-02 01:00:00,  1.6620,  0.2803,  0.1230,  0.1841, -0.0012,  2.2483,  1.6033,     NaN,  2.2483,   0, 940.58, 23.27, 19.18
2020-01-02 02:00:00,  1.6509,  0.3504,  0.1074,  0.1889,  0.0221,  2.3197,  1.6862,     NaN,  2.3197,   0, 940.08, 23.27, 19.18
2020-01-02 03:00:00,  1.8782,  0.3478,  0.2208,  0.2130,  0.0073,  2.6671,  1.6962,     NaN,  2.6671,   0, 940.00, 23.32, 19.48
2020-01-02 04:00:00,  1.4902,  0.3647,  0.2875,  0.2438,  0.0090,  2.3952,  1.8252,     NaN,  2.3952,   0, 940.58, 23.23, 19.84
2020-01-02 05:00:00,  1.6060,  0.3352,  0.1178,  0.3007,  0.0084,  2.3681,  1.9646,     NaN,  2.3681,   0, 940.17, 23.25, 19.79
2020-01-02 06:00:00,  2.0004,  0.3407,  0.2348,  0.3757,  0.0000,  2.9517,  2.1009,     NaN,  2.9517,   0, 939.92, 23.32, 19.81
2020-01-02 07:00:00,  2.0242,  0.2594,  0.3571,  0.4696,  0.0002,  3.1105,  2.3150,     NaN,  3.1105,   0, 939.25, 23.29, 19.83
2020-01-02 08:00:00,  1.9360,  0.3048,  0.3009,  0.5121,  0.0159,  3.0697,  2.4506,     NaN,  3.0697,   0, 939.00, 23.22, 19.87
2020-01-02 09:00:00,  1.9695,  0.3153,  0.2737,  0.5164,  0.0066,  3.0814,  2.5059,     NaN,  3.0814,   0, 939.33, 23.30, 19.69
2020-01-02 10:00:00,  2.0719,  0.2598,  0.3694,  0.6576,  0.0020,  3.3607,  2.7696,     NaN,  3.3607,   0, 939.42, 23.38, 19.58
2020-01-02 11:00:00,  2.0362,  0.3110,  0.4448,  0.6602,  0.0157,  3.4679,  2.9791,     NaN,  3.4679,   0, 939.00, 23.32, 19.60
2020-01-02 12:00:00,  2.3543,  0.2162,  0.4078,  0.8489,  0.0124,  3.8397,  2.9757,     NaN,  3.8397,   0, 939.67, 23.25, 19.67
2020-01-02 13:00:00,  2.1423,  0.3269,  0.3107,  0.8681,  0.0091,  3.6571,  3.2440,     NaN,  3.6571,   0, 940.25, 23.32, 19.47
2020-01-02 14:00:00,  2.5611,  0.2189,  0.4240,  1.2054, -0.0025,  4.4069,  3.5164,  0.2290,  4.6359,   0, 940.92, 23.29, 19.82
2020-01-02 15:00:00,  2.7259,  0.2681,  0.4894,  1.5218,  0.0001,  5.0053,  3.7445,  0.2234,  5.2288,   0, 941.55, 22.75, 20.95
2020-01-02 16:00:00,  2.6282,  0.3551,  0.6234,  1.5901,  0.0223,  5.2191,  4.7484,  0.2201,  5.4392,   0, 944.00, 22.54, 22.68
2020-01-02 17:00:00,  2.9900,  0.3980,  0.6559,  1.5888,  0.0129,  5.6455,  4.5759,  0.2112,  5.8568,   0, 943.75, 22.73, 22.48
2020-01-02 18:00:00,  2.9818,  0.6172,  0.7284,  1.6772,  0.0209,  6.0255,  5.0339,  0.1841,  6.2096,   0, 943.25, 22.73, 22.67
2020-01-02 19:00:00,  2.8790,  2.3988,  1.2704,  1.4959,  0.0173,  8.0615,  7.3101,  0.1966,  8.2580,   0, 942.42, 22.52, 22.58
2020-01-02 20:00:00,  2.9474,  2.5967,  1.2870,  1.1493,  0.0091,  7.9895,  6.6799,  0.1997,  8.1892,   0, 942.08, 22.49, 22.47
2020-01-02 21:00:00,  3.2706,  1.9237,  1.0403,  1.1773,  0.0217,  7.4336,  5.6974,  0.2035,  7.6371,   0, 942.75, 22.79, 22.10
2020-01-02 22:00:00,  2.9651,  1.5239,  0.9406,  1.1182,  0.0071,  6.5549,  4.9927,  0.2141,  6.7690,   0, 943.50, 22.86, 21.94
2020-01-02 23:00:00,  2.0916,  0.6149,  0.4474,  0.5054,  0.0242,  3.6834,  3.3697,  0.2028,  3.8863,   0, 944.58, 22.89, 22.18
2020-01-03 00:00:00,  2.3541,  0.3906,  0.5128,  1.0455,  0.0072,  4.3101,  3.6260,  0.2027,  4.5129,   0, 944.67, 23.03, 21.35
2020-01-03 01:00:00,  2.6969,  0.3452,  0.4737,  1.4524,  0.0086,  4.9767,  4.0216,  0.2441,  5.2208,   0, 945.50, 23.07, 21.07
2020-01-03 02:00:00,  2.7447,  0.2689,  0.6224,  1.7883,  0.0179,  5.4422,  3.5399,  0.1975,  5.6397,   0, 946.17, 23.10, 20.88
2020-01-03 03:00:00,  1.7754,  0.2026,  0.3171,  0.7784,  0.0154,  3.0891,  1.9409,  0.0760,  3.1651,   0, 946.92, 23.12, 20.43
2020-01-03 04:00:00,  1.3993,  0.2013,  0.3044,  0.4956, -0.0177,  2.3828,  1.3441,  0.0587,  2.4414,   0, 947.33, 23.09, 20.34
2020-01-03 05:00:00,  1.1205,  0.1082,  0.2763,  0.4819,  0.0009,  1.9878,  1.5057,  0.0593,  2.0471,   0, 948.33, 23.22, 20.23
2020-01-03 06:00:00,  0.9736,  0.2565,  0.3759,  0.7763, -0.0014,  2.3809,  1.8840,  0.0617,  2.4426,   0, 949.00, 23.19, 19.99
2020-01-03 07:00:00,  1.0576,  0.2789,  0.3606,  0.9817,  0.0003,  2.6791,  2.2025,  0.0462,  2.7254,   0, 950.67, 23.16, 19.60
2020-01-03 08:00:00,  0.7795,  0.3935,  0.6339,  1.3057, -0.0064,  3.1062,  2.6682,  0.0469,  3.1531,   0, 951.17, 23.15, 19.18
2020-01-03 09:00:00,  0.8924,  0.2936,  0.6633,  1.5515,  0.0018,  3.4026,  2.6474,  0.0383,  3.4409,   0, 952.33, 23.22, 19.08
2020-01-03 10:00:00,  0.7663,  0.3455,  0.6403,  1.0163,  0.0120,  2.7805,  2.3468,     NaN,  2.7805,   0, 953.33, 23.26, 18.92
2020-01-03 11:00:00,  0.9439,  0.3344,  0.6419,  1.4452,  0.0112,  3.3766,  2.5783,     NaN,  3.3766,   0, 954.00, 23.22, 18.74
2020-01-03 12:00:00,  0.8946,  0.3860,  0.4842,  1.3358,  0.0250,  3.1257,  2.3858,     NaN,  3.1257,   0, 954.67, 23.13, 18.38
2020-01-03 13:00:00,  0.9197,  0.4657,  0.5056,  1.1030, -0.0108,  2.9831,  2.7548,     NaN,  2.9831,   0, 955.00, 23.19, 18.04
2020-01-03 14:00:00,  0.8097,  0.4275,  0.4795,  1.0809,  0.0228,  2.8203,  2.4380,  0.0770,  2.8973,   0, 955.70, 23.29, 17.83
2020-01-03 15:00:00,  1.1792,  0.1350,  0.3142,  0.7417,  0.0297,  2.3998,  2.0067,  0.0799,  2.4797,   0, 956.90, 23.05, 18.60
2020-01-03 16:00:00,  1.3719,  0.1692,  0.2739,  0.6969,  0.0071,  2.5190,  1.8540,  0.0491,  2.5681,   0, 957.00, 22.97, 18.28
2020-01-03 17:00:00,  1.3713,  0.1884,  0.2217,  0.6016, -0.0112,  2.3717,  1.6349,  0.0460,  2.4177,   0, 957.00, 22.69, 18.18
2020-01-03 18:00:00,  1.1073,  0.2056, -0.0703,  0.4977, -0.0064,  1.7339,  1.4830,  0.0388,  1.7726,   0, 956.67, 22.69, 18.57
2020-01-03 19:00:00,  1.3932,  0.1670,  0.1318,  0.4948,  0.0080,  2.1949,  1.4266,  0.0374,  2.2323,   0, 956.00, 22.47, 19.07
2020-01-03 20:00:00,  1.0835,  0.1877,  0.0798,  0.2907,  0.0048,  1.6466,  1.0708,  0.0340,  1.6806,   0, 956.33, 22.51, 19.15
2020-01-03 21:00:00,  0.8897,  0.0987,  0.0924,  0.1742, -0.0025,  1.2524,  0.7360,  0.0246,  1.2770,   1, 957.00, 22.52, 19.05
2020-01-03 22:00:00,  0.5213,  0.0817,  0.0364,  0.0639,  0.0099,  0.7132,  0.5923,  0.0210,  0.7342,   1, 957.92, 22.76, 19.15
2020-01-03 23:00:00,  0.4127,  0.0931,  0.1996,  0.0726, -0.0014,  0.7766,  0.4500,  0.0178,  0.7945,   1, 958.50, 22.79, 19.12
2020-01-04 00:00:00,  0.5958,  0.0805,  0.0192,  0.0757,  0.0015,  0.7728,  0.4988,  0.0416,  0.8143,   1, 959.00, 22.99, 18.92
2020-01-04 01:00:00,  0.1355,  0.0730,  0.0821,  0.0894, -0.0009,  0.3790,  0.5487,  0.0216,  0.4006,   1, 959.08, 23.16, 18.60
2020-01-04 02:00:00,  0.3982,  0.1042,  0.2160,  0.1053,  0.0140,  0.8377,  0.7344,  0.0315,  0.8692,   1, 960.00, 23.24, 18.30
2020-01-04 03:00:00,  0.7608,  0.1795,  0.0065,  0.1919,  0.0049,  1.1436,  0.8526,  0.0401,  1.1837,   1, 959.00, 23.14, 19.18
2020-01-04 04:00:00,  0.7140,  0.0237,  0.1136,  0.2568,  0.0176,  1.1257,  0.9047,  0.0397,  1.1654,   1, 961.67, 23.18, 17.76
2020-01-04 05:00:00,  0.6790,  0.0949,  0.0649,  0.2478,  0.0047,  1.0912,  1.0122,  0.0482,  1.1394,   1, 962.50, 23.24, 17.57
2020-01-04 06:00:00,  0.9244,  0.1705,  0.1587,  0.3230,  0.0002,  1.5769,  1.2726,  0.0591,  1.6360,   0, 962.67, 23.23, 17.16
2020-01-04 07:00:00,  1.0108,  0.1444, -0.0670,  0.3656,  0.0008,  1.4546,  1.1687,  0.0659,  1.5205,   1, 963.17, 23.21, 16.70
2020-01-04 08:00:00,  0.7591,  0.1027,  0.1037,  0.2757,  0.0002,  1.2414,  0.8687,  0.0277,  1.2692,   1, 963.92, 23.16, 17.31
2020-01-04 09:00:00,  0.5857,  0.1413, -0.0788,  0.2707,  0.0032,  0.9221,  0.7933,  0.0216,  0.9437,   1, 964.00, 23.21, 17.35
2020-01-04 10:00:00,  0.3195,  0.1026,  0.0089,  0.3122,  0.0070,  0.7502,  0.8600,  0.0197,  0.7698,   1, 964.92, 23.27, 17.19
2020-01-04 11:00:00,  0.3036,  0.1719,  0.1179,  0.2997,  0.0059,  0.8990,  0.8567,  0.0166,  0.9156,   1, 965.00, 23.19, 16.77
2020-01-04 12:00:00,  0.4551,  0.1349,  0.2502,  0.2689, -0.0006,  1.1085,  0.7784,  0.0170,  1.1255,   1, 965.75, 23.12, 16.37
2020-01-04 13:00:00,  0.4272,  0.1540,  0.1896,  0.3101,  0.0133,  1.0942,  0.9629,  0.0180,  1.1122,   1, 966.67, 23.27, 16.13
2020-01-04 14:00:00,  0.5705,  0.1349,  0.1950,  0.3531, -0.0070,  1.2465,  1.0623,  0.0207,  1.2672,   1, 967.00, 23.11, 16.03
2020-01-04 15:00:00,  0.5865,  0.0732,  0.1751,  0.2758, -0.0103,  1.1003,  0.8283,  0.0202,  1.1204,   1, 968.00, 22.63, 16.26
2020-01-04 16:00:00,  0.5767,  0.0948,  0.1638,  0.1117,  0.0140,  0.9610,  0.4680,  0.0200,  0.9810,   1, 968.00, 22.43, 15.62
2020-01-04 17:00:00,  0.3706,  0.0681,  0.0093,  0.0477, -0.0007,  0.4951,  0.3320,  0.0100,  0.5051,   1, 967.50, 22.53, 14.20
2020-01-04 18:00:00,  0.2805,  0.0867,  0.1272,  0.0308, -0.0022,  0.5230,  0.3171,  0.0100,  0.5330,   1, 966.42, 22.56, 13.83
2020-01-04 19:00:00,  0.2740,  0.0654,  0.1395,  0.0363,  0.0148,  0.5299,  0.4561,  0.0150,  0.5449,   1, 964.83, 22.57, 13.66
2020-01-04 20:00:00,  0.2927,  0.1165,  0.0713,  0.1181,  0.0052,  0.6039,  0.5240,  0.0205,  0.6244,   1, 964.08, 22.58, 13.93
2020-01-04 21:00:00,  0.2233,  0.1210,  0.1010,  0.1686,  0.0020,  0.6159,  0.6307,  0.0212,  0.6371,   1, 964.00, 22.73, 14.41
2020-01-04 22:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0343,  0.0343, NaN, 964.00, 22.81, 15.15
2020-01-04 23:00:00,  0.3274,  0.0527,  0.0837,  0.0534,  0.0016,  0.5187,  0.7537,  0.0429,  0.5616,   1, 963.50, 23.03, 15.87
2020-01-05 00:00:00,  1.3985,  0.1566,  0.1561,  0.2849,  0.0003,  1.9965,  1.8042,  0.0566,  2.0530,   0, 963.00, 23.03, 15.77
2020-01-05 01:00:00,  1.1026,  0.1591,  0.3415,  0.2849, -0.0061,  1.8821,  1.3578,  0.1062,  1.9882,   0, 962.92, 23.19, 15.88
2020-01-05 02:00:00,  1.2659,  0.0761,  0.2011,  0.4662, -0.0027,  2.0066,  1.9507,  0.1376,  2.1442,   0, 962.25, 23.27, 15.97
2020-01-05 03:00:00,  1.9011,  0.1581,  0.1263,  0.5915, -0.0009,  2.7760,  2.3824,  0.1580,  2.9340,   0, 961.42, 23.27, 15.94
2020-01-05 04:00:00,  1.9449,  0.0736,  0.0770,  0.3581,  0.0101,  2.4636,  2.0500,     NaN,  2.4636,   0, 961.00, 23.18, 15.85
2020-01-05 05:00:00,  1.7433,  0.0887,  0.1363,  0.2540, -0.0037,  2.2186,  1.7640,     NaN,  2.2186,   0, 960.58, 23.23, 16.07
2020-01-05 06:00:00,  1.7416,  0.0727,  0.2177,  0.3643,  0.0038,  2.4001,  2.1281,     NaN,  2.4001,   0, 958.92, 23.22, 16.93
2020-01-05 07:00:00,  1.8502,  0.1101,  0.2085,  0.3980,  0.0026,  2.5694,  2.3325,     NaN,  2.5694,   0, 959.00, 23.25, 16.30
2020-01-05 08:00:00,  1.7922,  0.0610,  0.1790,  0.5199,  0.0088,  2.5610,  2.2752,     NaN,  2.5610,   0, 958.58, 23.23, 16.66
2020-01-05 09:00:00,  1.9446,  0.1676,  0.5091,  1.0246, -0.0015,  3.6443,  3.2453,     NaN,  3.6443,   0, 958.58, 23.27, 17.00
2020-01-05 10:00:00,  2.3211,  0.1030,  0.4550,  1.4109,  0.0104,  4.3003,  3.6423,     NaN,  4.3003,   0, 959.92, 23.25, 17.27
2020-01-05 11:00:00,  2.4914,  0.1545,  0.9316,  2.2036, -0.0017,  5.7794,  4.6124,     NaN,  5.7794,   0, 960.50, 23.23, 17.26
2020-01-05 12:00:00,  1.9930,  0.1848,  0.7080,  2.3029,  0.0017,  5.1905,  5.2621,     NaN,  5.1905,   0, 961.08, 23.15, 17.23
2020-01-05 13:00:00,  2.1111,  0.2321,  0.8797,  3.0513,  0.0280,  6.3022,  5.9512,     NaN,  6.3022,   0, 962.00, 23.25, 17.18
2020-01-05 14:00:00,  1.8856,  0.1546,  0.7621,  2.4075,  0.0068,  5.2166,  4.4727,     NaN,  5.2166,   0, 963.42, 23.14, 17.02
2020-01-05 15:00:00,  1.0185,  0.0869,  0.2040,  0.5153,  0.0035,  1.8281,  1.1495,     NaN,  1.8281,   0, 964.58, 22.48, 17.68
2020-01-05 16:00:00,  0.6220,  0.0625, -0.0644,  0.0838, -0.0051,  0.6988,  0.5257,     NaN,  0.6988,   1, 966.08, 22.43, 18.32
2020-01-05 17:00:00,  0.3681,  0.0429, -0.0243,  0.0224, -0.0191,  0.3900,  0.2947,     NaN,  0.3900,   1, 966.00, 22.33, 17.39
2020-01-05 18:00:00,  0.4928,  0.0216, -0.0766,  0.0211, -0.0083,  0.4506,  0.2355,     NaN,  0.4506,   1, 966.00, 22.43, 16.92
2020-01-05 19:00:00,  0.3889,  0.0570,  0.0166,  0.0370,  0.0144,  0.5139,  0.3096,     NaN,  0.5139,   1, 965.08, 22.20, 16.92
2020-01-05 20:00:00,  0.1496,  0.0209,  0.0617,  0.0511,  0.0018,  0.2850,  0.3368,     NaN,  0.2850,   1, 965.00, 22.27, 16.68
2020-01-05 21:00:00,  0.2406, -0.0409,  0.1189,  0.0247,  0.0102,  0.3534,  0.2722,     NaN,  0.3534,   1, 965.00, 22.47, 16.32
2020-01-05 22:00:00,  0.2833,  0.0200,  0.0235,  0.0977, -0.0066,  0.4180,  0.2548,     NaN,  0.4180,   1, 965.00, 22.49, 16.36
2020-01-05 23:00:00,  0.5393,  0.1385,  0.1857,  0.1152, -0.0063,  0.9724,  0.2044,     NaN,  0.9724,   1, 964.92, 22.87, 16.24
2020-01-06 00:00:00, -0.0382,  0.0178, -0.0145,  0.0101, -0.0051, -0.0299,  0.1396,     NaN, -0.0299,   1, 964.75, 22.92, 15.54
2020-01-06 01:00:00, -0.0238,  0.0741,  0.1022,  0.0093, -0.0007,  0.1612,  0.3204,     NaN,  0.1612,   1, 964.25, 23.10, 15.65
2020-01-06 02:00:00,  0.2187,  0.0960,  0.0858,  0.0266, -0.0041,  0.4230,  0.3099,     NaN,  0.4230,   1, 964.00, 23.20, 15.63
2020-01-06 03:00:00,  0.2536,  0.0059, -0.1100,  0.0351, -0.0025,  0.1821,  0.2195,     NaN,  0.1821,   1, 964.00, 23.19, 15.48
2020-01-06 04:00:00,  0.5123,  0.0511, -0.0213,  0.0432,  0.0010,  0.5863,  0.3246,     NaN,  0.5863,   1, 964.00, 23.15, 15.43
2020-01-06 05:00:00,  0.4012,  0.0554,  0.0783,  0.0869, -0.0044,  0.6174,  0.4396,     NaN,  0.6174,   1, 964.00, 23.20, 15.36
2020-01-06 06:00:00,  0.5436,  0.0750, -0.0290,  0.1215,  0.0142,  0.7252,  0.5277,     NaN,  0.7252,   1, 963.33, 23.22, 15.38
2020-01-06 07:00:00,  0.8584,  0.0448,  0.0289,  0.1488,  0.0072,  1.0880,  0.7889,     NaN,  1.0880,   1, 963.00, 23.23, 15.33
2020-01-06 08:00:00,  0.8341,  0.1145, -0.0642,  0.2418,  0.0099,  1.1362,  1.0720,     NaN,  1.1362,   1, 963.00, 23.19, 15.22
2020-01-06 09:00:00,  0.9175,  0.0411,  0.1157,  0.2614, -0.0067,  1.3290,  1.1663,     NaN,  1.3290,   1, 963.00, 23.17, 15.14
2020-01-06 10:00:00,  0.9070,  0.0426,  0.0944,  0.2456, -0.0067,  1.2829,  1.1240,     NaN,  1.2829,   1, 961.50, 23.19, 16.03
2020-01-06 11:00:00,  0.7613,  0.0322,  0.0877,  0.2280,  0.0064,  1.1156,  1.0317,     NaN,  1.1156,   1, 962.00, 23.22, 15.15
2020-01-06 12:00:00,  0.5387, -0.0008,  0.0122,  0.1801, -0.0024,  0.7278,  0.7359,     NaN,  0.7278,   1, 961.83, 23.15, 14.98
2020-01-06 13:00:00,  0.4717, -0.0241,  0.0793,  0.1861,  0.0085,  0.7215,  0.7330,     NaN,  0.7215,   1, 962.00, 23.28, 14.87
2020-01-06 14:00:00,  0.9281,  0.0297, -0.0460,  0.2303,  0.0118,  1.1538,  0.8138,     NaN,  1.1538,   1, 962.50, 23.12, 14.94
2020-01-06 15:00:00,  0.7347, -0.0161,  0.1241,  0.3404,  0.0006,  1.1837,  0.9520,  0.0665,  1.2502,   1, 963.00, 22.50, 16.00
2020-01-06 16:00:00,  0.9175,  0.1384,  0.0866,  0.4520, -0.0005,  1.5941,  1.2734,  0.0720,  1.6661,   0, 963.00, 22.36, 16.68
2020-01-06 17:00:00,  0.6729,  0.0535,  0.2058,  0.4508,  0.0098,  1.3928,  1.3796,  0.0768,  1.4696,   1, 962.83, 22.32, 16.76
2020-01-06 18:00:00,  1.0302,  0.0476,  0.1983,  0.5391, -0.0017,  1.8136,  1.2750,  0.0702,  1.8837,   0, 961.58, 22.50, 16.93
2020-01-06 19:00:00,  0.9259,  0.4616,  0.5299,  0.6090, -0.0010,  2.5253,  2.5767,  0.1249,  2.6501,   0, 960.58, 22.49, 17.15
2020-01-06 20:00:00,  1.5593,  0.5106,  0.5065,  1.0118,  0.0163,  3.6044,  3.9810,  0.1188,  3.7233,   0, 960.42, 22.52, 17.15
2020-01-06 21:00:00,  0.8677,  0.2124,  0.2431,  0.8901,  0.0156,  2.2290,  2.2676,  0.0960,  2.3250,   0, 961.00, 22.71, 16.91
2020-01-06 22:00:00,  0.7136,  0.1619,  0.1756,  0.4582, -0.0024,  1.5069,  1.0629,  0.0453,  1.5522,   0, 961.92, 22.73, 16.67
2020-01-06 23:00:00,  0.2970,  0.0202, -0.0047,  0.0103, -0.0080,  0.3148,  0.6378,  0.0438,  0.3587,   1, 962.17, 22.93, 16.63
2020-01-07 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0309,  0.0309, NaN,    NaN,   NaN,   NaN
2020-01-07 01:00:00,  0.3188,  0.1163,  0.0334,  0.0793,  0.0142,  0.5621,  0.6049,  0.0472,  0.6094,   1, 963.00, 23.21, 15.01
2020-01-07 02:00:00,  0.4859,  0.1340,  0.1104,  0.0700,  0.0074,  0.8077,  0.7499,  0.0328,  0.8404,   1, 963.00, 23.21, 14.60
2020-01-07 03:00:00,  0.5083,  0.0787,  0.1082,  0.1013,  0.0067,  0.8033,  0.6279,  0.0340,  0.8373,   1, 963.50, 23.26, 14.33
