Start_date,Mass_organics_STP,Mass_sulfate_STP,Mass_ammonium_STP,Mass_nitrate_STP,Mass_chloride_STP,Mass_ACSM_STP,Mass_SMPS_STP,Mass_BC_PSAP_STP,Mass_ACSM_PSAP_STP,Qc_ACSM_SMPS,P_SMPS,T_SMPS,RH_SMPS
2022-01-01 00:00:00,  0.2818,  0.1807,  0.0242,  0.0484,  0.0168,  0.5519,  0.5743,     NaN,  0.5519,   1, 949.25, 23.43, 13.11
2022-01-01 01:00:00,  0.7587,  0.1221,  0.1006,  0.0591, -0.0129,  1.0277,  0.7636,     NaN,  1.0277,   1, 949.75, 23.52, 13.24
2022-01-01 02:00:00,  0.8550,  0.1627, -0.0794,  0.0421, -0.0066,  0.9738,  0.7196,     NaN,  0.9738,   1, 950.00, 23.40, 13.91
2022-01-01 03:00:00,  0.9032,  0.3833,  0.4146,  0.6390,  0.0057,  2.3458,  2.8954,     NaN,  2.3458,   0, 950.67, 23.51, 14.06
2022-01-01 04:00:00,  2.1972,  1.0867,  1.3355,  3.1392, -0.0092,  7.7493,  8.5615,     NaN,  7.7493,   0, 952.00, 23.52, 13.24
2022-01-01 05:00:00,  2.6621,  1.2576,  1.5472,  3.5465,  0.0351,  9.0485, 10.0784,     NaN,  9.0485,   0, 951.25, 23.68, 12.47
2022-01-01 06:00:00,  2.9963,  1.8939,  2.1507,  4.9289,  0.0297, 11.9995, 11.8197,     NaN, 11.9995,   0, 952.00, 23.64, 12.18
2022-01-01 07:00:00,  3.4338,  1.8181,  2.0376,  4.7066,  0.0660, 12.0621, 11.6227,     NaN, 12.0621,   0, 951.42, 23.63, 12.06
2022-01-01 08:00:00,  2.9923,  1.6632,  1.5924,  3.9352,  0.0635, 10.2465,  9.1178,     NaN, 10.2465,   0, 951.83, 23.64, 12.02
2022-01-01 09:00:00,  2.1651,  1.5026,  1.7320,  2.9586,  0.0497,  8.4079,  8.0137,     NaN,  8.4079,   0, 953.08, 23.64, 11.93
2022-01-01 10:00:00,  2.0236,  1.4849,  1.5532,  3.0376,  0.0578,  8.1571,  8.5487,     NaN,  8.1571,   0, 952.92, 23.68, 11.82
2022-01-01 11:00:00,  1.6317,  1.6041,  1.6000,  2.9259,  0.0571,  7.8187,  7.0986,     NaN,  7.8187,   0, 952.83, 23.60, 11.79
2022-01-01 12:00:00,  0.9048,  0.4191,  0.8943,  1.9563,  0.0106,  4.1852,  4.2923,     NaN,  4.1852,   0, 953.67, 23.60, 11.85
2022-01-01 13:00:00,  0.5536,  0.4403,  0.6898,  1.6171, -0.0121,  3.2887,  3.0636,     NaN,  3.2887,   0, 955.58, 23.66, 11.73
2022-01-01 14:00:00,  0.5270,  0.3019,  0.5848,  1.3584,  0.0009,  2.7730,  2.4455,     NaN,  2.7730,   0, 955.17, 23.54, 11.45
2022-01-01 15:00:00,  0.8662,  0.9236,  0.9142,  1.8428,  0.0108,  4.5576,  5.3770,     NaN,  4.5576,   0, 957.83, 23.67, 11.02
2022-01-01 16:00:00,  1.2233,  1.3441,  1.0870,  2.5294,  0.0073,  6.1911,  6.9272,     NaN,  6.1911,   0, 959.50, 23.67, 10.14
2022-01-01 17:00:00,  1.5106,  1.3264,  1.3457,  3.1306,  0.0151,  7.3283,  6.5927,     NaN,  7.3283,   0, 960.42, 23.52, 11.02
2022-01-01 18:00:00,  1.0458,  1.0875,  1.2445,  2.6839,  0.0244,  6.0862,  4.9150,     NaN,  6.0862,   0, 960.08, 23.62,  9.28
2022-01-01 19:00:00,  1.0101,  0.8693,  0.6469,  1.8306,  0.0564,  4.4133,  2.7372,     NaN,  4.4133,   0, 960.75, 23.66,  9.14
2022-01-01 20:00:00,  0.2762,  0.4780,  0.3690,  0.8188,  0.0465,  1.9886,  1.9442,     NaN,  1.9886,   0, 961.00, 23.54,  8.87
2022-01-01 21:00:00,  1.0045,  0.5553,  0.3544,  0.6785,  0.0384,  2.6312,  2.0257,     NaN,  2.6312,   0, 962.00, 23.52,  8.71
2022-01-01 22:00:00,  0.5138,  0.8239,  0.3697,  0.6337,  0.0307,  2.3718,  2.4296,     NaN,  2.3718,   0, 963.33, 23.53,  8.56
2022-01-01 23:00:00,  1.1392,  0.6849,  0.4069,  0.6897,  0.0618,  2.9825,  2.2848,     NaN,  2.9825,   0, 964.67, 23.55,  8.43
2022-01-02 00:00:00,  1.2568,  0.5465,  0.4137,  0.7099,  0.0070,  2.9339,  1.8970,     NaN,  2.9339,   0, 965.33, 23.45,  8.37
2022-01-02 01:00:00,  1.0197,  0.4229,  0.2581,  0.7439,  0.0412,  2.4858,  1.6843,     NaN,  2.4858,   0, 966.17, 23.40,  8.30
