Start_date,Mass_organics_STP,Mass_sulfate_STP,Mass_ammonium_STP,Mass_nitrate_STP,Mass_chloride_STP,Mass_ACSM_STP,Mass_SMPS_STP,Mass_BC_PSAP_STP,Mass_ACSM_PSAP_STP,Qc_ACSM_SMPS,P_SMPS,T_SMPS,RH_SMPS
2019-01-08 19:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0110,  0.0110, NaN, 973.00, 20.64,   NaN
2019-01-08 20:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0107,  0.0107, NaN, 973.50, 20.68,   NaN
2019-01-08 21:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0125,  0.0125, NaN, 973.92, 20.93,   NaN
2019-01-08 22:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0040,  0.0040, NaN, 974.08, 21.02,   NaN
2019-01-08 23:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0085,  0.0085, NaN, 974.75, 21.31,   NaN
2019-01-09 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0363,  0.0363, NaN, 975.17, 21.53,   NaN
2019-01-09 01:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0153,  0.0153, NaN, 976.00, 21.69,   NaN
2019-01-09 02:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0132,  0.0132, NaN, 976.58, 21.68,   NaN
2019-01-09 03:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0102,  0.0102, NaN, 977.33, 21.74,   NaN
2019-01-09 04:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0145,  0.0145, NaN, 978.00, 21.76,   NaN
2019-01-09 05:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0164,  0.0164, NaN, 978.00, 21.73,   NaN
2019-01-09 06:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0160,  0.0160, NaN, 978.00, 21.78,   NaN
2019-01-09 07:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0152,  0.0152, NaN, 978.00, 21.83,   NaN
2019-01-09 08:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0214,  0.0214, NaN, 978.08, 21.82,   NaN
2019-01-09 09:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0213,  0.0213, NaN, 978.08, 21.82,   NaN
2019-01-09 10:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0174,  0.0174, NaN, 978.00, 21.82,   NaN
2019-01-09 11:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0270,  0.0270, NaN, 978.00, 21.85,   NaN
2019-01-09 12:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0360,  0.0360, NaN, 978.00, 21.86,   NaN
2019-01-09 13:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0365,  0.0365, NaN, 978.83, 21.88,   NaN
2019-01-09 14:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0327,  0.0327, NaN, 979.67, 21.72,   NaN
2019-01-09 15:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0345,  0.0345, NaN, 980.00, 21.09,   NaN
2019-01-09 16:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0371,  0.0371, NaN, 980.08, 20.88,   NaN
2019-01-09 17:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0328,  0.0328, NaN, 979.50, 20.88,   NaN
2019-01-09 18:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0234,  0.0234, NaN, 978.00, 20.98,   NaN
2019-01-09 19:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0176,  0.0176, NaN, 976.67, 20.77,   NaN
2019-01-09 20:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0168,  0.0168, NaN, 976.00, 20.89,   NaN
2019-01-09 21:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0142,  0.0142, NaN, 975.50, 21.05,   NaN
2019-01-09 22:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0174,  0.0174, NaN, 974.92, 21.27,   NaN
2019-01-09 23:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0182,  0.0182, NaN, 974.08, 21.47,   NaN
2019-01-10 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0396,  0.0396, NaN, 974.00, 21.69,   NaN
2019-01-10 01:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0505,  0.0505, NaN, 973.42, 21.84,   NaN
2019-01-10 02:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0673,  0.0673, NaN, 973.00, 21.84,   NaN
2019-01-10 03:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1001,  0.1001, NaN, 973.00, 21.82,   NaN
2019-01-10 04:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1065,  0.1065, NaN, 973.00, 21.91,   NaN
2019-01-10 05:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0953,  0.0953, NaN, 972.58, 21.84,   NaN
2019-01-10 06:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0800,  0.0800, NaN, 972.00, 21.85,   NaN
2019-01-10 07:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0759,  0.0759, NaN, 972.00, 21.92,   NaN
2019-01-10 08:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0799,  0.0799, NaN, 971.83, 21.95,   NaN
2019-01-10 09:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0878,  0.0878, NaN, 971.17, 21.94,   NaN
2019-01-10 10:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0973,  0.0973, NaN, 970.17, 21.95,   NaN
2019-01-10 11:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1080,  0.1080, NaN, 969.92, 21.96,   NaN
2019-01-10 12:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1110,  0.1110, NaN, 969.42, 22.03,   NaN
2019-01-10 13:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1245,  0.1245, NaN, 969.42, 21.98,   NaN
2019-01-10 14:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1460,  0.1460, NaN, 969.00, 21.97,   NaN
2019-01-10 15:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1510,  0.1510, NaN, 969.00, 21.95,   NaN
2019-01-10 16:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1326,  0.1326, NaN, 968.67, 22.01,   NaN
